id,name,description,ability,base_skill,success_desc,failure_desc,ds_calc,craft_failure_desc,craft_success_desc
1,Acrobatics,"Twisting, diving, cartwheels, balancing, back-handsprings, parkour, and so on.",Agility,,PS: Barely succeed without calamity. S: Aptly perform. 1: Impressively perform. 2: Outstandingly perform. 3: Impossibly perform.,PF: Barely fail without calamity (if possible) or minor calamity. F: Unsuccessful. 1: Potentially minorly hurt yourselves or others. 2: Hurt yourself or others trying to perform. 3: Hurt yourself and likely allies.,,,
2,Beastcraft,"Using an understanding of an animal's emotions, intentions, and fears to calmly interact with, persuade, guide, or soothe them.",Charisma,,"PS: Barely succeed, but without understanding emotions/intentions. S: Understand surface emotion and intention, and interact successfully. 1: Interact with deeper understanding and control. 2: Build strong rapport and influence animal behavior. 3: Achieve near-perfect control and empathy with the animal.","PF: Misinterpret animal cues, minor setback. F: Fail to connect, animal agitated. 1: Animal becomes hostile, potential danger. 2: Animal attacks or fleas, significant risk. 3: Animal uncontrollable, severe threat to self and others.",,,
3,Act,"Portray yourself in a way or manner that is not who you truly are in species, culture, alignment, attitude, etc., using words, mannerisms, and body language.",Charisma,14,"PS: Your portrayal is unconvincing but not immediately suspicious for up to 5 minutes. S: You act convincingly enough to pass as intended for up to 30 minutes. 1: You maintain the act even under light scrutiny for up to 1 hour. 2: You remain fully convincing even under questioning for up to 6 hours. 3: You flawlessly embody the role, fooling even experts for up to 24 hours.","PF: Act is unconvincing, minor suspicion. F: Act immediately falls apart, exposed. 1: Act breaks down under scrutiny. 2: Act thoroughly debunked, potential consequences. 3: Act disastrously fails, severe repercussions.",,,
4,Alchemy,"Brew potions and concoct various substances using alchemy tools, a distilling set, and assorted ingredients. Identify and analyze alchemically involved liquids, powders, and derivatives. Weapon Application: Apply a brew to a weapon with a basic Action and interaction, triggering its effect on the next hit. Lingering effects persist on the weapon until the effect ends, applying to every hit.
Ranged Weapon Use: For ranged weapons, a brew affects one piece of ammunition per 10 energy spent. (Single use enhanced and common items)",Intelligence,13,"PS: You can recognize if a substance if it is familiar. S: When identifying a substance, you can determine whether it is harmful or harmless. 1: When identifying, you can broadly discern the effect category (e.g., buff, debuff, healing, poison). 2: When identifying, you gain a general idea of how the substance is made or its key ingredients. 3: When identifying, you can deduce the exact composition, method of creation, and any potential modifications or improvements.",PF: the substance is unfamiliar F: misidentify the substance for something similar. 1: Misidentify the substance as mundane/useless. 2: Misidentify the substance as something of the opposite effect. 3: Destroy the substance and suffer it's negative effects (if any).,,"Each failure reduces the item's potency by 2, damage by 1d4 if any, and duration by 1 minute if any. A critical failure causes the brew to backfire—negative effects impact you, while positive effects deal (1d10 × level) damage.","Each success grants one of the following: +1 Potency (maximum of 25), +1d4 Damage, +1 Minute of Effect (if already a brew that had duration) or +1d2 healing."
5,Analyze,"Determine general observable characteristics, strengths, and weaknesses of a creature through observation, testing, or physical manipulation.","Acuity, Intelligence",,"PS: You gain vague or unreliable insights. S: You recognize basic strengths and weaknesses. 1: You identify notable traits and vulnerabilities. 2: You discern deeper patterns, behaviors, or hidden weaknesses. 3: You fully understand the target, including rare insights or predictive knowledge.","PF: Misinterpret target's traits, minor miscalculation. F: Fail to gain any useful information. 1: Misjudge key strengths or weaknesses. 2: Significant misunderstanding of target's capabilities. 3: Completely wrong analysis, potentially disastrous.",DS: half level of creature +10.,,
6,Appraise,"Determine the value, properties, and other characteristics of an object using observation, touch, testing, or physical manipulation.","Acuity, Intelligence",25,"PS: Your estimate is rough and may be inaccurate. S: You determine a fair value and identify notable properties. 1: You recognize subtle details that refine your appraisal. 2: You uncover hidden or secret properties of the object. 3: You achieve near-perfect appraisal, understanding the object's history, worth, and potential uses.","PF: Value estimate slightly off, minor miscalculation. F: Completely misjudged object's value. 1: Overlook crucial details affecting value. 2: Fail to recognize hidden properties. 3: Grossly inaccurate appraisal, potentially swindled.",,,
7,Arcana,"Understand the fundamentals of power and things of an arcane nature, and in some cases manipulate them using memory, resources, known powers, scrolls, books, foci, etc.",Intelligence,,"PS: Gain a vague or incomplete understanding of the arcane subject. S: Obtain a general but accurate grasp of the subject. 1: Identify key additional details or practical applications. 2: Gain a deep and precise understanding of the arcane subject. 3: Comprehend the subject with expert-level clarity, potentially unlocking new insights or techniques.",F: Unable to discern the nature of the subject. 1: Gain an incorrect general knowledge. 2: Inaccurately understand the topic with perceived heightened clarity. 3: Gain confidence in the exact nature of the power or arcane subject incorrectly.,,,
8,Artistry,"Painting, sculpting, pottery making with paints, potting clay/wheels, mud, etc. Material cost for art is 10% that of normal crafting material costs, however difficulty score is +8 the original and art is much harder to sell. (Creating items with low cost to create but high difficulty score and potential worth.)",Agility,13,"PS: The work is crude or lacks coherence. S: The work is competent but unremarkable. 1: The piece is skillfully made and aesthetically pleasing. 2: The work is masterful and evocative, admired by most. 3: The piece is a breathtaking masterpiece, inspiring awe and admiration.","PF: Work flawed, minor aesthetic issues. F: Work completely falls apart, unusable. 1: Noticeable imperfections in the piece. 2: Significant flaws detract from the work. 3: Disastrous creation, materials wasted.",,On Critical: ,On Critical: Any power placed on this item has one of its Charm or Illusion parts increase by a level.
9,Athletics,"Performing physically demanding feats such as pulling or pushing, heaving, lifting, crushing, and so on.",Strength,,"PS: You barely manage, struggling to complete the task. S: You perform the task as expected with no extra difficulty. 1: You execute the action with notable strength or efficiency. 2: You display exceptional physical prowess, exceeding normal limits. 3: You achieve a near-superhuman feat, astounding onlookers.","PF: Physical exertion strains you, minor setback. F: Fail the physical task. 1: Minor injury or stumble during the attempt. 2: Significant physical strain or near-failure. 3: Severe injury or complete failure, potentially incapacitating.",,,
10,Botany,"The raising and harvesting of domestic plant life for food, ingredients, defenses, or other uses.",Intelligence,32,,,,,
11,Charm,"Gaining the confidence, trust, favor, and/or desire of an individual through some form of performance such as singing, dancing, poetry, flirtation, conversation, etc.",Charisma,35,"PS: The target is mildly entertained but not swayed. S: The target is receptive and engaged. 1: The target is charmed and more favorably inclined toward you. 2: The target is highly influenced and willing to do small favors. 3: The target is fully enthralled, trusting, and deeply favoring you.","PF: Target unimpressed, minor social awkwardness. F: Target actively dislikes you. 1: Target offended or slightly hostile. 2: Target strongly dislikes you, potential repercussions. 3: Target deeply dislikes you, severe social consequences.",,,
12,Cook,"Prepare food dishes of various compositions with intended flavor profiles and potential health benefits with cooking utensils and sometimes heat. (Single use items that expire within 5 days of crafting, currency and time cost of crafting reduced by 50% but can only be used to make powers with Healing, Overhealing, or Energy restoring or increase parts. Items must be consumed with an interaction to gain benefits from.)","Intelligence, Acuity",13,"Crafting: Each degree of success grants the creature who consumes the item Overheal or Overenergy equal to Archetype Proficiency. PS: The meal is edible but unremarkable. S: The dish is well-prepared and tasty. 1: The dish is flavorful and nutritious. 2: The dish is gourmet-level with enhanced effects. 3: The meal is a masterpiece, potentially granting temporary beneficial effects.","PF: Meal slightly burnt or undercooked, minor flavor issues. F: Meal completely ruined, inedible. 1: Noticeable flaws in taste or texture. 2: Significant problems with the dish, potentially unappetizing. 3: Disastrous meal, ingredients wasted.",,"Each failure reduces the effectiveness of your meal by -1d4 and soils the meal 1 day earlier. A critical failure forces the creature eating it to make a Fortitude roll, DS 10 + 1 for each rarity above common. On a fail the creature loses 1 AP as they violently throw up.",Each degree of success grants the creature who consumes the item Overheal or Overenergy equal to Archetype Proficiency.
13,Craft,"Create or repair a variety of things using a variety of tools, sets, or kits, specific to the base crafting skill(s) you currently have. Your base skill determines what these things are, but the craft sub skill allows you to improvise with the tools to create something different or not as intended.","Acuity, Agility, Charisma, Intelligence, Strength, Vitality",,"PS: The item is barely functional or crude. S: The item is serviceable but unremarkable. 1: The item is well-crafted and durable. 2: The item is expertly made with slight enhancements. 3: The item is of masterful quality, featuring superior design and durability.","PF: Item flawed, minor issues. F: Item completely unusable. 1: Noticeable imperfections. 2: Significant flaws. 3: Disastrous creation, materials wasted.",,,
14,Deceive,Lying to or deceiving others through your words and body language.,Charisma,,"PS: Your lie is shaky but not immediately exposed. S: Your deception is believable to the average observer. 1: Your lie is convincing even under moderate scrutiny. 2: Your deception holds even under close examination. 3: Your deception is seamless and undetectable, fooling even experts.","PF: Lie unconvincing, minor suspicion. F: Lie immediately exposed. 1: Life falls apart under questioning. 2: Deception thoroughly debunked. 3: Deception disastrously fails, severe consequences.",,,
15,Deduce,"Using often limited information to intuit and extrapolate conclusions, solve riddles, puzzles, and determine potential outcomes and strategies.",Intelligence,,,,,,
16,Calligraphy,"Forge or create signatures, documents, scripts, seals, and so on with forgery, and create documents and so on using calligraphy tools or forging. (Copying written materials, crafting written items or duplicating written items like books etc.)","Agility, Intelligence",13,"PS: The forgery is sloppy and easily detected. S: The forgery passes casual inspection. 1: The forgery holds up under moderate scrutiny. 2: The forgery is highly convincing, fooling most experts. 3: The forgery is flawless and indistinguishable from the original.","PF: Forgery flawed, minor inconsistencies. F: Forgery immediately detected. 1: Forgery suspicious under scrutiny. 2: Forgery debunked by experts. 3: Forgery disastrously fails, legal repercussions.",,"Each failure reduces the item's potency by 2, damage by 1d4 if any, and duration by 1 minute if any. A critical failure causes the spell to backfire—negative effects impact you, while positive effects deal (1d10 × level) damage.","Each success grants one of the following: +1 Potency (maximum of 25), +1d4 Damage, +1 Minute of Effect (if already a spell that had duration) or +1d2 healing."
17,Glassblowing,"Blow molten glass into various configurations and forms with glassblowing tools and a source of extreme heat. (Eyewear, potions bottles, items of glass)","Strength, Vitality",13,"PS: The glass is fragile and misshapen. S: The object is functional but unremarkable. 1: The glasswork is elegant and well-formed. 2: The craftsmanship is exceptional, featuring intricate details. 3: The glass creation is a masterpiece, rivaling legendary artisans.","PF: Glass fragile, minor imperfections. F: Glass shatters, unusable. 1: Noticeable flaws in the glasswork. 2: Significant problems with the creation. 3: Disastrous glassblowing, materials wasted.",,On Critical: ,"On Critical: Your creation can hold more volume than usual. Any potion or brew stored in this item has its damage increased by +1d4, healing by +1d2, or its duration by +1 min."
18,Haggle,"Convincing an individual an item is worth more or less than it is, and getting an agreed upon price.",Charisma,36,PS: The target remains unconvinced. S: The target is open adjusting price by 5% 1: The target is open adjusting price by 15% 2: The target is open adjusting price by 20% 3: The target is open adjusting price by 45%,PF: The target remains unconvinced and may adjust the price 5% unfavorably. F: The target wishes to adjust thee price unfavorably 10% 1: The target wishes to adjust the price unfavorably by 15% 2: The target wishes to adjust the price unfavorably by 20% 3: The target wishes to adjust the price unfavorably by 45% 4: The target no longer wishes to trade.,,,
19,Harvest,,"Acuity, Agility, Charisma, Intelligence, Strength, Vitality",0,,,,,
20,Hide,"While staying still, blend in or stay out of sight, sound, and notice using strength, endurance, agility, and/or talent.","Strength, Vitality, Agility",42,"PS: You are hidden but vulnerable to detection. S: You remain unnoticed by casual observers. 1: You are well-concealed, avoiding most searches. 2: You are nearly invisible, avoiding even thorough searches. 3: You are undetectable unless someone knows exactly where to look.","PF: You are briefly spotted, minor risk. F: You are immediately detected. 1: You are easily found with minimal effort. 2: You are discovered after a brief search. 3: You are easily located, no stealth achieved.",,,
21,History,"Determine and/or recall the history, root, source, or secrets of anything founded upon or directly relating to general world history through the use of personal knowledge, books, journals, and current and recent events.",Intelligence,,"PS: You recall vague or unreliable information. S: You remember the general history accurately. 1: You recall key details and notable facts. 2: You uncover deeper historical context or hidden knowledge. 3: You recall obscure, rare, or secret information with certainty.","PF: Recall inaccurate information, minor misunderstanding. F: Unable to recall any relevant history. 1: Recall incorrect details, misleading information. 2: Significant historical inaccuracies. 3: Grossly misinterpret history, potentially harmful.",,,
22,Insight,"Interpreting and understanding the true meaning or intent behind a creature's actions or words using body language, mannerisms, hesitation, shakiness, and other tells.",Charisma,,PS: You gain a vague impression of the creature’s intent. S: You understand the creature’s general motivations. 1: You discern subtle hints and underlying emotions. 2: You accurately predict the creature’s next actions. 3: You fully understand the creature’s thoughts and motivations.,"PF: Misinterpret target's intentions, minor miscalculation. F: Completely misjudged target's motivations. 1: Fail to understand key emotions or intentions. 2: Significant misunderstanding of target's true nature. 3: Grossly inaccurate assessment of target's motives.",,,
23,Entertain,"Entertain using instrument(s), dancing, or other methods. Perform dances in any style using innate fitness, skill, poise, rhythm, and talent. You recognize different styles of dance and can recall information regarding them. You can play an instrument with proficiency.","Charisma, Agility",35,Same as base skill,Same as base skill,,,
24,Intimidate,"Intimidate an individual or group into taking or not taking a course of action using threats, body language, and general appearance.","Charisma, Strength, Vitality",,PS: The target is slightly unnerved but does not change behavior. S: The target hesitates and is wary of you. 1: The target fears you and may comply with minor requests. 2: The target is deeply unsettled and obeys most commands. 3: The target is terrified and will go to great lengths to avoid conflict.,"PF: Target slightly unnerved, minor hesitation. F: Target unaffected, ignores you. 1: Target becomes wary or cautious. 2: Target becomes fearful, may back down. 3: Target terrified, likely to flee or submit.",,,
25,Investigate,"Interpret and learn more about something non-living up close by using touch and potentially other senses, and manipulating or testing it.","Acuity, Intelligence",,PS: You gather vague or incomplete information. S: You obtain clear and basic details. 1: You uncover useful and relevant information. 2: You discern hidden aspects or deeper insights. 3: You fully analyze and understand every important detail.,"PF: Gather incomplete information, minor confusion. F: Unable to find any useful information. 1: Misinterpret clues, minor misdirection. 2: Overlook key details, significant misunderstanding. 3: Grossly misinterpret the situation, potentially harmful.",,,
26,Jewelcraft,"Embed gems and jewels into materials, finely cut crystals, gems, and stones with stone cutting tools and jeweler's tools. (Necklaces, and jewelry)","Agility, Acuity, Intelligence",13,"PS: The work is rough and lacks precision. S: The piece is well-crafted and aesthetically pleasing. 1: The piece is expertly made with minor enhancements. 2: The piece is masterfully crafted, showcasing remarkable beauty and durability. 3: The piece is a legendary work of craftsmanship with unique properties.","PF: Work flawed, minor imperfections. F: Work completely falls apart, unusable. 1: Noticeable blemishes in the piece. 2: Significant flaws detract from the work. 3: Disastrous creation, materials wasted.",,On Critical: ,On Critical: Any power placed on this item as an enchantment has its effects increased based on the gemstone involved. Choose either +1d4 damage of the gemstone's type or +1 level to a power part of the gem's type.
27,Leatherwork,"Create, mend, or modify leather armor, clothing, and accessories with leatherworking supplies, tailor supplies, or a sewing kit. (Boots, Gloves, Armor without Strength requirement above 1, saddles, some weapons)","Agility, Strength",13,"PS: The item is crude and barely functional. S: The item is well-made and fully usable. 1: The piece is reinforced or aesthetically appealing. 2: The craftsmanship is outstanding with superior durability. 3: The work is a masterpiece, featuring intricate designs and exceptional quality.","PF: Item flawed, minor issues. F: Item completely unusable. 1: Noticeable imperfections in the leatherwork. 2: Significant problems with the creation. 3: Disastrous leatherworking, materials wasted.",,On Critical: ,"On Critical: The item's storage capacity is 150%, or it gains the slashing resistance armor part."
28,Lockpick,"Picking locks, spinning combinations, or cracking mechanical codes using a set of lockpicking tools.",Agility,40,1: Pick the lock in 10 minutes. Each degree of success after 1 reduces the time to pick the lock by 2 minutes.,"F: Fail to pick the lock after 10 minutes. 1: Waste 2 minutes. 2: Waste 4 minutes. 3: Waste 6 minutes. 4: Lockpick breaks. 5: Lockpick breaks, lock harder to pick.",,,
29,Lore,"Determine and/or recall the history, root, source, or secrets of anything founded upon or directly relating to a specific set, part, or portion of history through the use of personal knowledge, books, journals, and current and recent events. This knowledge is considered deeper than a general world history and can relate directly to religion, civilization, cults, people, clans, etc.",Intelligence,21,"PS: Recall vague or incomplete knowledge. S: Recall useful general information. 1: Recall notable facts and details. 2: Uncover rare or hidden knowledge. 3: Recall obscure, secret, or lost information with certainty.","PF: Recall inaccurate information, minor misunderstanding. F: Unable to recall any relevant lore. 1: Recall incorrect details, misleading information. 2: Significant inaccuracies in recalled lore. 3: Grossly misinterpret lore, potentially harmful.",,,
30,Medicine,"Examine wounds, heal targets, seek to understand symptoms, and diagnose ailments with medical supplies. Healing requires medical materials such as bandages and stacks with any base healing these items can do.",Intelligence,,"PS: The treatment is crude, offering minimal relief. S: The target is stabilized and begins healing. 1: Heal the target for 1d4 and determine general symptoms. 2: Heal an additional 1d8 and diagnose the ailment with confidence. 3: Heal an additional 1d10, accurately diagnose the ailment, and retain medical supplies used.","PF: Treatment ineffective, minor discomfort. F: Treatment worsens the condition. 1: Waste medical supplies. 2: Deal 1d4 damage. 3: Deal 1d8 damage. 4: Deal 2d8 damage. 5: Deal 3d8 damage. 6: Deal 4d8 damage, permanent deformity.","With a base DS of 10, add +1 for each 1/4th below the maximum Health the target is (including in the negative), +5 if the target is of unfamiliar anatomy (not of similar species but still same creature type,) +10 instead if the creature is of unknown anatomy (not of same creature type or general body shape and/or makeup.",,
31,Motivate,"Instilling courage, confidence, or determination in an individual or group through encouraging words, actions, and presence. This skill bolsters morale, helping others overcome fear or doubt and motivating them to push forward even in challenging circumstances.",Charisma,36,"PS: The encouragement has little effect. S: The target is reassured and gains slight confidence. 1: The target is inspired to act decisively. 2: The target is strongly motivated and performs better under pressure. 3: The target is fully emboldened, capable of remarkable feats.","PF: Encouragement has little to no effect. F: Target becomes demoralized. 1: Target doubts your encouragement. 2: Target actively rejects your motivation. 3: Target becomes disheartened, performance worsens.",,,
32,Nature,"Determine the general characteristics of plants, animals, ecosystems, and other aspects of the natural world using knowledge of nature.",Intelligence,,"PS: Recognize basic natural elements. S: Identify common flora, fauna, and geographical features. 1: Understand ecological interactions and lesser-known species. 2: Uncover rare knowledge or hidden natural patterns. 3: Possess deep, nearly instinctual knowledge of nature, able to predict and manipulate natural phenomena.","PF: Misidentify natural elements, minor miscalculation. F: Unable to identify anything in nature. 1: Misjudge key features of flora or fauna. 2: Significant misunderstanding of natural interactions. 3: Grossly misinterpret natural phenomena, potentially dangerous.",,,
33,Navigate,"Navigate using the stars, sun, maps, compasses, and other cartography tools.",Intelligence,,"Each degree of success means you will not need to repeat this roll for 1 hour while navigating. For every 3 degrees of success, you may travel a 2-hour distance over 1 hour.","PF: Waste 15 minutes. F: Lose 1 hour. 1: Lose 2 hours. 2: Lost, CD increases.",,,
34,Perceive,"Interpret your surroundings consciously and generally as you stay still, including close and far-away stimuli, using sight, smell, temperature, sound, and other senses not involving touch or manipulation.",Acuity,,PS: Notice minor details but miss critical information. S: Detect important environmental cues. 1: Recognize hidden or subtle stimuli. 2: Discern patterns and predict events. 3: Gain near-perfect situational awareness.,"PF: Overlook crucial details, minor miscalculation. F: Fail to notice anything significant. 1: Miss important environmental cues. 2: Misinterpret sensory information. 3: Grossly misjudged the situation, potentially dangerous.",,,
35,Perform,"Gaining the confidence, trust, favor, and/or desire of a group of people through some form of performance such as singing, dancing, acting, poetry, etc.",Charisma,,"PS: The audience is indifferent or unimpressed. S: The performance is competent and engaging. 1: The audience is entertained and responsive. 2: The performance is remarkable, drawing strong admiration. 3: The performance is legendary, captivating and inspiring all who witness it.","PF: Audience unimpressed, minor embarrassment. F: Performance booed or ridiculed. 1: Audience bored or disinterested. 2: Performance poorly received, potential repercussions. 3: Performance disastrous, severe social consequences.",,,
36,Persuade,"Convincing an individual to take or not take a course of action they may or may not want to do through words, body language, and mannerisms.",Charisma,,"PS: The target remains unconvinced but not hostile. S: The target is open to your argument. 1: The target leans toward your desired outcome. 2: The target is convinced and willing to comply. 3: The target is fully persuaded, embracing your viewpoint wholeheartedly.","PF: Target remains unconvinced, minor disagreement. F: Target becomes hostile or offended. 1: Target actively resists your persuasion. 2: Target strongly disagrees, potential conflict. 3: Target deeply offended, severe repercussions.",,,
37,Pickpocket,"Taking something out or putting something into a pocket, bag, or any reasonable location on another without being noticed.",Agility,40,PS: The target is suspicious but does not immediately notice. S: The target does not notice the theft for 1 minute. 1: The target does not notice for 10 minutes. 2: The target does not notice for 1 hour. 3: The target does not notice for 2 hours.,F: Target notices immediately. 1: Target suspects you. 2: Target knows you took something. 3: Target knows what you took.,,,
38,Supplicate,"Offering prayer or supplication/plea for answers, aid, or otherwise to a being of power or worship.",Charisma,,"PS: Your prayer is acknowledged but goes unanswered. S: You receive minor guidance or comfort. 1: You gain insight or a small blessing. 2: Your plea is answered with tangible aid or knowledge. 3: A divine presence intervenes, granting significant aid.","PF: Prayer unanswered, minor disappointment. F: Prayer rejected, potential divine disfavor. 1: Receive misleading guidance. 2: Plea ignored, no divine intervention. 3: Divine wrath or punishment.",,,
39,Search,"Broadly or specifically sweep a large or small area as you move, seeking to find anything out of the ordinary or of potential or specific interest using sight, smell, temperature, sound, and other senses not involving touch or manipulation.",Acuity,34,"PS: You find minor details but miss key information. S: You locate what you were searching for. 1: You discover additional useful details. 2: You uncover hidden or hard-to-detect objects. 3: You find everything possible, even secret or concealed elements.","PF: Find minor details, miss key information. F: Unable to find anything of significance. 1: Overlook crucial clues. 2: Miss hidden or concealed objects. 3: Grossly misinterpret the search area, potentially dangerous.",,,
40,Sleight of Hand,"Concealing something, palming something, handing something off, or preparing to attack discreetly. This also encompasses dexterously tying knots and other work requiring fine motor skills and agility.",Agility,,PS: Your movement is clumsy but not immediately detected. S: You successfully execute the trick. 1: You do not need to repeat this roll for 10 minutes. 2: You do not need to repeat this roll for 20 minutes. 3: You do not need to repeat this roll for 30 minutes.,F: Target notices immediately. 1: Target suspects you. 2: Target knows you concealed something. 3: Target knows what you concealed.,,,
41,Smith,"Forge and shape metals into weapons, armor, and other items with smith's tools and often extreme heat. (Gauntlets, Shields, Weapons, Armor with Strength requirement above 1)","Strength, Vitality",13,"PS: The item is crude and barely functional. S: The item is properly forged and usable. 1: The item is sturdy and well-crafted. 2: The craftsmanship is superior, with added durability or effectiveness. 3: The item is a masterpiece, revered by smiths.","PF: Item flawed, minor weaknesses. F: Item completely unusable. 1: Noticeable imperfections in the metalwork. 2: Significant problems with the creation. 3: Disastrous smithing, materials wasted.",,On Critical: ,"On Critical: The item's weight is halved, or it gets +1d2 damage."
42,Stealth,"Sneak, speak, or move subtly and without notice using physical agility and talent.",Agility,,"PS: You are partially concealed but may be noticed. S: You remain undetected. 1: You move silently and stay hidden even under mild scrutiny. 2: You avoid detection even under close inspection. 3: You are effectively invisible, blending perfectly into the surroundings.","PF: Briefly spotted, minor risk of detection. F: Immediately detected. 1: Easily found with minimal effort. 2: Discovered after a brief search. 3: Easily located, no stealth achieved.",,,
43,Tailor,"Sew, create, and/or mend various articles of clothing or textiles with tailor supplies or a sewing kit. (Clothing, gloves, headware, cloaks)",Agility,13,"PS: The stitching is weak or uneven. S: The piece is functional and properly made. 1: The garment is well-made with minor enhancements. 2: The item is high-quality and stylish. 3: The work is masterful, worthy of nobility or fame.","PF: Item flawed, minor issues. F: Item completely unusable. 1: Noticeable imperfections in the tailoring. 2: Significant problems with the creation. 3: Disastrous tailoring, materials wasted.",,On Critical: ,On Critical: Any power placed on this item gets +1 level to its Charm or Defense parts.
44,Tinker,"Repair, create, modify, and tinker with small machinery or robotics using tinker tools and/or various scraps/mechanical parts. (Hand slot items, crafting other useful utility items and usually other toolsets) Create construct companions.","Agility, Intelligence",13,"PS: The device barely works but may fail. S: The device functions properly. 1: The device operates efficiently with small improvements. 2: The device is highly refined with notable enhancements. 3: The device is groundbreaking, near-perfect in function.","PF: Device flawed, minor malfunctions. F: Device completely breaks down. 1: Noticeable imperfections in the tinkering. 2: Significant problems with the creation. 3: Disastrous tinkering, materials wasted.",,On Critical: ,On Critical: This item gains +1 level to one of its item properties or a Utility or General power part.
45,Tame,"Train, bond, or domesticate an animal or beast to follow commands or act in a controlled manner.",Charisma,2,"PS: The creature is uneasy and may resist. S: The creature follows basic commands. 1: The creature is obedient and reliable. 2: The creature is well-trained and responds quickly. 3: The bond is deep, and the creature acts with instinctual trust.","PF: Animal uneasy, resists commands. F: Animal becomes hostile or fleas. 1: Animal disobedient, unreliable. 2: Animal difficult to control. 3: Animal uncontrollable, potential danger.",,,
46,Taunt,"Aggravate, enrage, mock, or scorn an individual or group. This skill can only cause one individual to be taunted with you at base DS equal to the creature's resolve, or a group with DS equal to resolve +5. Creature's taunted this way are much more likely to attack or take aggressive action at the creature taunting them, but can still choose to take other actions. This lasts only one round unless RM rules otherwise.",Charisma,,"PS: The target is mildly irritated but otherwise unaffected. S: The target is provoked and slightly distracted. 1: The target is visibly angered and more likely to make rash decisions. 2: The target is furious and may act irrationally. 3: The target is consumed by rage, prioritizing you above all else.","PF: Target unimpressed, minor social awkwardness. F: Target actively dislikes you. 1: Target offended or slightly hostile. 2: Target strongly dislikes you, potential repercussions. 3: Target consumed by rage, violent reaction.",,,
47,Track,"Track down a creature using senses of sight, smell, feel, and taste when necessary. The longer it's been since present, the harder it is to track.","Acuity, Intelligence",,"PS: You find minor traces but lose the trail. S: You locate clear signs and follow them for a few minutes, but then need to repeat the roll. 1: You do not need to repeat this roll for 10 minutes. 2: You do not need to repeat this roll for 20 minutes. 3: You do not need to repeat this roll for 30 minutes and can predict movement patterns.","PF: Lose the trail, minor setback. F: Unable to find any tracks. 1: Waste 1 hour. 2: Waste 2 hours, lost, CD increases.",,,
48,Triage,Emergency or urgent medical care to fatally afflicted creatures using more drastic or urgent methods.,Intelligence,30,"PS: The treatment is unstable but slows deterioration, does not take next instance of dying damage. S: The target is stabilized and begins recovery. 1: Each degree of success heals the target for 1d4. 2: Heal an additional 1d12. 3: Heal an additional 2d12 and retain the supplies used for healing.","PF: Treatment ineffective, condition worsens. F: Target dies. 1: Waste medical supplies. 2: Deal 1d6 damage. 3: Deal 1d12 damage. 4: Deal 2d12 damage. 5: Deal 3d12 damage, permanent deformity. 6: Deal 4d12 damage, permanent deformity.","DS: With a base DS of 8, add +1 for each 1/4th below the maximum Health the target is (including in the negative), +5 if the target is of unfamiliar anatomy (not of similar species but still same creature type,) +10 instead if the creature is of unknown anatomy (not of same creature type or general body shape and/or makeup.",,
49,Vehicle,Operate a vehicle and have knowledge of its workings. Have an understanding of how to command a crew to operate the vehicle if required. This can be treated as a subskill of animal handling if using drawn vehicles.,"Acuity, Agility, Charisma, Intelligence, Strength, Vitality",,"PS: The vehicle moves but is difficult to control. S: The vehicle is handled competently. 1: The vehicle is maneuvered skillfully. 2: The vehicle is operated with expert precision. 3: The vehicle is controlled masterfully, even in extreme conditions.","PF: Vehicle difficult to control, minor risk. F: Vehicle crashes or becomes unusable. 1: Vehicle damaged or nearly crashes. 2: Significant control issues, potential danger. 3: Complete loss of control, catastrophic consequences.",,,
50,Woodworking,"Craft or repair items from wood, such as furniture, weapons, and tools with woodcarving, carpentry, or woodworking tools. (Some weapons, most ranged weapons, other utility items)",Agility,13,"PS: The work is rough and barely functional. S: The piece is sturdy and well-made. 1: The craftsmanship is solid with artistic details. 2: The object is of high quality and durability. 3: The work is an artistic masterpiece, admired for both beauty and function.","PF: Item flawed, minor issues. F: Item completely unusable. 1: Noticeable imperfections in the woodwork. 2: Significant problems with the creation. 3: Disastrous woodworking, materials wasted.",,On Critical: ,"On Critical: Any power placed on or used through this item gains +1 level to its Summoning or Adaptation parts. Alternatively, attacks made with this item get +1 level to range."